Date,Close,High,Low,Open,Volume
2025-11-03,120.85049438476562,121.25469973780551,120.52115287332107,120.96527241041737,10730800
2025-11-04,118.84447479248047,120.20677284184312,118.67980023046671,119.31354640288852,9312600
2025-11-05,120.29161071777344,120.47624238231735,118.41033679866547,119.32852298030343,11716200
2025-11-06,117.51212310791016,119.79759479015092,116.89833399126898,119.63790758813879,14726000
2025-11-07,117.6967544555664,118.07600013786598,116.19473383542346,117.2676046191963,11502000
2025-11-10,119.24369049072266,119.43330952254246,118.38039584390638,118.85944982884567,10434800
2025-11-11,119.53810119628906,119.64788423886341,118.73469308343377,119.03909013524365,12775400
2025-11-12,118.73469543457031,120.01714992741331,118.43029837673288,119.88740979012206,9314200
2025-11-13,115.77056884765625,118.61992542260599,115.56098511087275,118.23568476468388,15268400
2025-11-14,115.21666717529297,116.27956320506254,114.06894017621525,114.44819346759844,14662200
2025-11-17,114.1338119506836,115.9152775019539,113.48509604016964,114.6178532952306,20233600
2025-11-18,112.02798461914062,113.39527768481788,111.85332769984774,112.8014532963876,27057400
2025-11-19,112.03297424316406,112.89127390541529,111.44414482671286,112.89127390541529,15912200
2025-11-20,110.36128997802734,114.52304047097746,110.24651194972222,113.290482519945,24924400
2025-11-21,112.52699279785156,113.61982822557394,110.76049701508832,111.09982087730663,19013200
2025-11-24,114.02901458740234,114.70766993362186,113.27551062789942,113.40026339290813,11181800
2025-11-25,116.46917724609375,116.65880388366041,113.86433892862344,114.07393027240998,10395400
2025-11-26,117.2676010131836,117.50712419388607,116.41928372020446,116.87837298917782,8122200
2025-11-28,117.99616241455078,118.16582435300552,117.53706552391304,117.53706552391304,4827200
2025-12-01,118.06602478027344,118.72471544758729,117.38237442175016,117.42729120590039,11579800
2025-12-02,117.98617553710938,118.43029507327375,117.2526286741642,118.3504514767195,11105800
2025-12-03,119.25865936279297,119.57303116180803,118.00114932381857,118.00114932381857,9369800
2025-12-04,118.8344955444336,119.55806007087584,118.16082755625706,119.4333073037546,11828800
2025-12-05,119.49319458007812,119.85247554654332,118.94427935548394,118.94427935548394,4556800
2025-12-08,117.75662994384766,119.12392301421099,117.51710676270605,119.01413996987428,6400100
2025-12-09,117.74665832519531,118.25564414682191,117.09794239536971,117.27758668956288,5153900
2025-12-10,119.47322845458984,120.04210076500334,117.87639456696468,117.8863769202855,9440800
2025-12-11,119.94229888916016,120.12194317563636,119.27362589506158,119.48320962689975,5863400
2025-12-12,120.46126556396484,121.11996381106289,119.42332927073274,120.2716465408978,7865600
2025-12-15,121.4892349243164,122.15790791126432,120.98024151569282,121.479252571201,12137500
2025-12-16,121.6888427734375,121.97827011474344,120.82056074951967,121.41938013942429,12052000
2025-12-17,120.28162384033203,122.40741585185432,120.28162384033203,121.78863938967756,10597600
2025-12-18,122.0980224609375,123.38547190897958,121.83854219213237,121.97826467973651,11598200
2025-12-19,121.60899353027344,122.17786583284354,121.4992104881718,122.12796929553656,9728700
2025-12-22,122.33999633789062,122.81999969482422,122.08999633789062,122.36000061035156,8073400
2025-12-23,122.16999816894531,122.6500015258789,121.88999938964844,122.2699966430664,9766400
2025-12-24,122.58999633789062,122.62999725341797,121.93000030517578,122.27999877929688,2250000
2025-12-26,122.05000305175781,122.77999877929688,121.87999725341797,122.43000030517578,4197000
2025-12-29,120.8499984741211,121.55999755859375,120.70999908447266,121.55999755859375,6535400
2025-12-30,120.36000061035156,120.77999877929688,120.2699966430664,120.61000061035156,4180500
2025-12-31,119.41000366210938,120.45999908447266,119.36000061035156,120.44000244140625,4356100
2026-01-02,118.3499984741211,120.12000274658203,117.70999908447266,120.08000183105469,16200700
2026-01-05,120.30000305175781,121.1500015258789,118.58999633789062,118.94999694824219,17653800
2026-01-06,121.06999969482422,121.26000213623047,119.44000244140625,119.52999877929688,17759400
2026-01-07,120.9000015258789,122.12999725341797,120.9000015258789,121.26000213623047,11327700
2026-01-08,122.91999816894531,123.13999938964844,120.4000015258789,120.58000183105469,12565400
2026-01-09,124.41000366210938,124.55999755859375,122.18000030517578,122.91999816894531,13817800
2026-01-12,124.5199966430664,125.01000213623047,123.33999633789062,123.87000274658203,8773100
2026-01-13,124.20999908447266,124.69999694824219,123.41999816894531,124.52999877929688,9033300
2026-01-14,122.25,123.41000366210938,121.63999938964844,123.38999938964844,10758100
2026-01-15,122.69999694824219,123.25,122.4000015258789,122.87000274658203,7447900
2026-01-16,122.30000305175781,123.04000091552734,121.87999725341797,122.76000213623047,7058700
2026-01-20,119.12000274658203,120.56999969482422,118.9000015258789,120.27999877929688,9720000
2026-01-21,121.4000015258789,121.9000015258789,119.41000366210938,119.41000366210938,11017600
2026-01-22,122.62000274658203,123.08000183105469,121.72000122070312,122.12999725341797,6594200
2026-01-23,123.12999725341797,123.38999938964844,122.2300033569336,122.4800033569336,6470900
2026-01-26,122.31999969482422,123.4000015258789,122.30000305175781,123.05999755859375,4812700
2026-01-27,122.69000244140625,122.91999816894531,121.81999969482422,122.73999786376953,4269700
2026-01-28,121.7699966430664,123.69000244140625,121.58999633789062,123.08999633789062,8732200
2026-01-29,121.19000244140625,122.5999984741211,120.41000366210938,122.47000122070312,12410400
2026-01-30,121.16999816894531,122.0,120.54000091552734,121.26000213623047,11706400
2026-02-02,121.97000122070312,122.41000366210938,120.12000274658203,120.73999786376953,8483000
2026-02-03,120.98999786376953,122.76000213623047,119.81999969482422,122.08000183105469,12467800
2026-02-04,120.0999984741211,121.54000091552734,119.3499984741211,121.0999984741211,13915400
2026-02-05,117.51000213623047,118.83000183105469,117.06999969482422,118.55000305175781,13290000
2026-02-06,117.98999786376953,118.16000366210938,115.4000015258789,115.69000244140625,20971100
2026-02-09,117.55000305175781,118.20999908447266,116.4000015258789,117.43000030517578,10975700
2026-02-10,118.33000183105469,119.22000122070312,117.69999694824219,117.76000213623047,9920700
