ticker,company_name,strategy,quality,reversion_score,current_price,entry_zone,target,stop_loss,risk_reward,ai_confirmation,ai_confidence,ai_reason,historical_win_rate,detected_date,rsi,rsi_tier,rally_pct,pullback_pct,sma_50,sma_200,trend,volume_decrease,bounce_target,bounce_usd,bounce_pct,stop_pct
FICO,Fair Isaac Corporation,Bull Flag Pullback,⭐ BUENA,60,1259.89,$1234.69 - $1285.09,1476.0,1048.5,0.42,,,,71.7,2026-05-27,,,60.0,-14.6,1080.92,1080.92,Bearish,False,1348.08,88.19,7.0,-16.8
GPK,Graphic Packaging Holding Compa,Bull Flag Pullback,⭐ BUENA,60,10.29,$10.08 - $10.5,11.64,9.46,0.87,,,,71.7,2026-05-27,,,30.6,-11.6,9.75,9.75,Bearish,False,11.01,0.72,7.0,-8.1
