ticker,super_score_4d,tier,description,dimensions,weights
IRIX,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
HYMC,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
AVO,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
KFS,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
LUCY,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
UUU,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
SPRU,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
CABA,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
ELUT,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
MAIA,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
PFBX,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
SLGL,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
YORW,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
NRDY,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
XZO,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
