ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,ai_verdict,ai_confidence,ai_reasoning,ai_verified,data_warning,verified_by,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,tesis_deterioro,tesis_ingresos_yoy,tesis_margen_op,tesis_margen_op_delta,tesis_op_yoy,tesis_eps_limpio,tesis_pe_hoy,tesis_extraordinarios_pct,tesis_pe_hist,tesis_compresion,tesis_crec_usado,tesis_ret_2a_sin_reversion,tesis_ret_2a_con_reversion,tesis_compresion_con_bpa_creciendo,tesis_bpa_crecio_pct,tesis_multiplo_vario_pct,tesis_pe_antes,tesis_pe_ahora,tesis_base,conviction_score,conviction_grade,conviction_reasons,conviction_positives,conviction_red_flags
BR,0.0,,,,48.2,"Broadridge Financial Solutions, Inc.",62.5,Technology,Information Technology Services,80.0,50.0,42.3,80.0,55.0,170.25,19412211712.0,15.0,23.2,False,up,6.4,True,1.0,7.5,False,0.0,2.9,2.2,False,250.26,-32.0,1.0,False,"{'roe_pct': 40.9, 'debt_to_equity': 1.24, 'current_ratio': 1.24, 'operating_margin_pct': 24.6}","{'eps_growth_yoy': 6.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.0}",213.38,250.0,176.0,8.0,none,25.3,193.4,13.6,93.6,-45.0,6.15,10.48,2.5,40.6,1.69,True,-3.11,13.9,4.2,48.0,2026-11-03,False,False,8.0,STRONG,6.91,211.6,1.75,BULLISH,0.0,80.0,1.0,0.0,17.200000000000003,0.0,14.5,18.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,113.5,20.0,33.2,15.0,False,up,23.2,2.0,True,1.0,False,0.0,2.0,17.0,27.0,40.7,Bajo 50%,26.1,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,82.41,5.0,0.0,6.0,3.0,3.0,1.0,0.0,0.06,0.0,0.0,0.0,13.6,41.0,ALTA,3.16,0.0,10.0,3.0,0,,0,UNRELIABLE/INSUFFICIENT (0),BEST,14.0,42,0.4823,MEDIA,0.0,⭐⭐⭐ EXCELLENT,🟢 Elite,,,,,,,,SIN_DATOS,,,BUY,85,"Upside is reasonable, fundamentals are strong (high ROE, solid margin, low debt), and multiple analysts support the target price.",True,,claude,167.99,161.41,237.04,3.92,41.1,BUY NOW - At target entry price,False,7.480391207514292,24.60921663137979,0.4637726495844987,9.544816522959687,9.61,17.506763787721127,0.0,,,4.2,8.576400000000039,,True,81.13207547169812,-40.68693834091207,29.180751912818764,17.307997374635672,,63.6,B,Sin deterioro: ingresos +7.5% y margen +0.5 pts — la caída no tiene motivo real | El beneficio subio +81% y el multiplo cayo -41% (29x → 17x) | ROE 41% (excelente) | FCF Yield 6.2% (bueno),8,0
VEEV,0.0,,,,25.8,Veeva Systems Inc.,77.2,Healthcare,Health Information Services,95.0,60.0,75.0,85.0,60.0,266.62,43168137216.0,60.0,57.3,False,up,36.5,False,0.0,17.6,False,0.0,3.3,2.3,False,310.5,-14.1,5.0,False,"{'roe_pct': 14.4, 'debt_to_equity': 0.02, 'current_ratio': 5.46, 'operating_margin_pct': 29.6}","{'eps_growth_yoy': 36.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 29.3}",297.3,350.0,180.0,27.0,buy,11.5,329.43,23.6,183.9,-31.0,2.91,7.77,,,,True,-1.09,,27.6,70.0,2026-11-25,False,False,7.0,NEUTRAL,2.54,14.1,0.66,BULLISH,0.0,60.0,1.0,0.0,23.9,0.0,7.7,23.2,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,95,"Strong institutional buying (2.2x ratio, 67% up volume)",HIGH_FLOAT,148.3,20.0,30.9,60.0,False,up,57.3,2.0,False,0.0,False,0.0,0.0,,27.0,,Sin datos suficientes,57.3,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,2/3,44.17,5.0,0.0,0.0,0.0,3.0,5.0,0.72,21.77,3.0,0.0,0.0,11.5,15.2,,1.44,2.0,5.0,116.0,0,,0,UNRELIABLE/INSUFFICIENT (0),EXIT,-12.0,44,0.2577,BAJA,21.22,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,85,"Upside is modest and realistic, fundamentals (ROE 14.4%, margin 29.3%, debt/equity 0.02) are strong, and a sizable analyst base (27) supports the target price. No red flags detected.",True,,claude,261.29,240.38,339.25,8.0,29.84,BUY ON PULLBACK - Wait for 2-5% dip,False,17.60047447600437,29.636741982169546,4.809379518746905,40.381199338465,6.0,43.46666666666667,0.0,,,13.800237238002182,29.504939954255825,,True,81.33333333333334,-42.690130621076385,61.9312933959961,35.492743349923316,,62.7,B,Sin deterioro: ingresos +17.6% y margen +4.8 pts — la caída no tiene motivo real | +30% a 2 años sin necesitar reversión de múltiplo | El beneficio subio +81% y el multiplo cayo -43% (62x → 35x) | Deuda minima (0.02),8,0
ICE,0.0,,,,50.0,"Intercontinental Exchange, Inc.",67.6,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,46.7,75.0,65.0,156.9,88082792448.0,35.0,43.7,False,up,12.6,False,0.0,10.7,False,0.0,1.1,1.5,False,176.05,-10.9,4.0,False,"{'roe_pct': 14.1, 'debt_to_equity': 0.69, 'current_ratio': 1.01, 'operating_margin_pct': 52.6}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 38.2}",187.29,232.0,163.0,14.0,strong_buy,19.4,151.13,-3.7,99.97,-36.3,4.13,6.47,1.32,28.2,1.25,True,-2.39,7.6,14.2,43.0,2026-10-29,False,False,8.0,STRONG,4.78,118.3,1.26,BULLISH,0.0,50.0,2.0,0.0,16.0,0.0,,20.3,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.5x ratio, 59% up volume)",MEGA_FLOAT,557.5,23.0,29.0,35.0,False,up,43.7,2.0,False,0.0,False,0.0,0.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,False,2/3,33.53999999999999,0.0,0.0,3.0,0.0,3.0,3.0,0.31,0.73,1.0,0.0,0.0,-3.7,39.4,MEDIA,2.42,2.0,10.0,27.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,-8.0,44,,,15.76,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,85,"Upside of ~19% is realistic, fundamentals are solid with ROE 14.1%, margin 38.2% and low debt/equity 0.69. Analyst coverage is strong (14 analysts) and no red flags appear.",True,,claude,158.04,151.84,196.17,3.92,24.13,BUY NOW - At target entry price,False,10.698957694665845,38.853503184713375,-1.2139401016140283,7.345065034429998,7.138454906302339,21.92351174787566,1.542744044130005,29.151503690941418,-24.794576704157436,7.1,14.704099999999997,52.521048314265606,True,123.64341085271317,-28.21118021989889,39.957715739041625,28.68517254014569,,60.0,B,"Negocio sano: ingresos +10.7% y beneficio operativo al alza (margen -1.2 pts, absorbido por el crecimiento) | Cotiza 25% por debajo de su múltiplo histórico | El beneficio subio +124% y el multiplo cayo -28% (40x → 29x) | Strong Buy (14 analistas) || RED FLAGS: DCF ligeramente por debajo (-4%)",8,1
NDSN,0.0,,,,44.2,Nordson Corporation,72.8,Industrials,Specialty Industrial Machinery,90.0,60.0,60.3,85.0,60.0,309.25,17225029632.0,60.0,71.5,False,up,21.5,True,1.0,10.3,False,0.0,3.3,3.9,False,339.12,-8.8,8.0,True,"{'roe_pct': 17.8, 'debt_to_equity': 0.56, 'current_ratio': 1.82, 'operating_margin_pct': 27.4}","{'eps_growth_yoy': 21.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 18.6}",349.71,375.0,282.0,7.0,buy,13.1,361.45,16.9,227.47,-26.4,3.56,11.02,1.22,33.2,1.08,True,-1.43,8.4,16.1,84.0,2026-12-09,False,False,7.0,NEUTRAL,3.71,65.0,1.04,,,,,,52.1,0.0,13.3,21.8,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",MEDIUM_FLOAT,49.6,0.0,35.1,60.0,False,up,71.5,2.0,True,1.0,False,0.0,2.0,9.0,27.0,70.4,Medio,37.6,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,3/3,55.03,-3.0,0.0,3.0,0.0,3.0,5.0,0.0,10.37,0.0,0.0,0.0,13.1,17.8,,1.64,2.0,5.0,79.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,3.0,23,0.442,BAJA,31.28,🔵 DECENT,🟡 Good,HOLD,55.0,Close to ATH (-8.8% from high) - wait for pullback,-8.8,NEUTRAL,BUY,False,,,,BUY,85,"Strong ROE (17.8%), healthy margin (18.6%), modest debt (0.56), solid growth (10.3%) and a realistic 13% upside supported by 7 analysts make this a compelling buy.",True,,claude,308.05,295.97,383.8,3.92,24.59,BUY NOW - At target entry price,False,10.270677766554414,27.283967678773877,0.31490863835764316,11.558271409855081,9.894897251795,31.727464369885116,0.049517207229512264,25.68710154865483,23.515159192986502,10.135338883277207,21.297928709343104,-1.7951079836112105,,,,,,,54.6,C,Sin deterioro: ingresos +10.3% y margen +0.3 pts — la caída no tiene motivo real | +21% a 2 años sin necesitar reversión de múltiplo | ROE 18% (bueno) | Buy (7 analistas),6,0
BAC,0.0,,,,48.7,Bank of America Corporation,70.3,Financial Services,Banks - Diversified,95.0,50.0,65.1,65.0,65.0,59.52,416208388096.0,60.0,69.4,False,flat,16.6,True,1.0,7.2,False,0.0,0.0,0.0,False,65.23,-8.8,5.0,False,"{'roe_pct': 11.2, 'operating_margin_pct': 38.3}","{'eps_growth_yoy': 16.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.5}",69.0,79.0,62.0,21.0,buy,15.9,76.49,28.5,129.9,118.2,3.03,1.8,2.15,25.9,2.35,True,-6.04,,34.1,28.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.33,,,,,,40.7,0.0,14.6,21.1,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,6965.1,3.0,35.7,60.0,False,flat,69.4,0.0,True,1.0,False,0.0,2.0,,27.0,,Sin datos suficientes,69.4,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,57.55500000000001,0.0,0.0,3.0,3.0,3.0,5.0,0.33,0.33,0.0,0.0,0.0,28.5,-57.4,,1.99,2.0,0.0,,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),,0.0,44,0.487,MEDIA,20.53,🔵 DECENT,🟡 Good,,,,,,,,,,,BUY,85,"Upside is modest and realistic, ROE and margin exceed quality thresholds, growth is solid, and a strong analyst consensus (21 estimates) supports the target price. No red flags are present.",True,,claude,59.95,57.59,73.79,3.92,23.1,BUY NOW - At target entry price,,,,,,,,,,,,,,,,,,,,53.0,C,DCF: +28% margen | Buy (21 analistas) | Buyback activo | Dividendo 2.1% (payout 26%),5,0
V,0.0,,,,22.4,Visa Inc.,71.8,Financial Services,Credit Services,75.0,80.0,63.9,70.0,60.0,375.62,701300277248.0,60.0,72.5,False,up,6.8,False,0.0,14.4,True,2.0,1.2,3.0,False,385.57,-2.6,6.0,False,"{'roe_pct': 61.2, 'debt_to_equity': 0.68, 'current_ratio': 0.98, 'operating_margin_pct': 66.1}","{'eps_growth_yoy': 6.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 50.8}",419.36,466.0,330.0,37.0,strong_buy,11.6,,,,,2.91,11.97,0.71,22.1,0.71,True,-3.05,35.7,10.2,41.0,2026-10-27,False,False,6.0,NEUTRAL,3.79,381.9,2.45,NEUTRAL,0.92,100.0,8.0,9.0,19.3,0.0,6.7,21.5,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",MEGA_FLOAT,1703.5,23.0,28.3,60.0,False,up,72.5,2.0,False,0.0,True,2.0,2.0,11.0,27.0,63.0,Medio,35.2,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,False,2/3,33.84,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.76,0.0,0.0,0.0,,,,1.45,2.0,2.0,33.0,0,,0,MIXED/WATCH (0),EXIT,-24.0,44,0.2235,BAJA,29.68,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,92,"Strong ROE (61%) and high margin (50.8%) indicate excellent profitability; low debt/equity (0.68) suggests financial stability. Upside of ~12% is realistic given 37 analyst targets, and growth of 14.4% supports continued earnings expansion. No red flags detected.",True,,claude,379.38,350.89,455.12,7.51,19.97,BUY NOW - At target entry price,False,14.362957137239473,61.29115447434024,-5.480375215003058,4.976442873969367,12.673478260869565,28.988884695872926,8.135480041549192,28.48097308220283,1.7833365882694574,5.1,10.460099999999994,8.524738628710416,,,,,,,51.5,C,"Negocio sano: ingresos +14.4% y beneficio operativo al alza (margen -5.5 pts, absorbido por el crecimiento) | ROE 61% (excelente) | Strong Buy (37 analistas) | Buyback activo || RED FLAGS: 8% del BPA son extraordinarios (múltiplo real peor)",5,1
SBGSY,0.0,,,,50.0,Schneider Electric S.E.,55.5,Industrials,Specialty Industrial Machinery,55.0,50.0,44.0,75.0,65.0,63.44,178696323072.0,35.0,42.2,False,up,,,0.0,,,0.0,,,False,71.98,-11.9,5.0,False,"{'roe_pct': 18.6, 'debt_to_equity': 0.84, 'current_ratio': 1.09, 'operating_margin_pct': 18.2}",{'profit_margin_pct': 11.3},79.47,84.0,76.0,3.0,strong_buy,25.3,91.12,43.6,58.01,-8.6,3.47,2.2,1.56,49.7,1.78,,,,29.3,162.0,2027-02-25,False,False,6.0,NEUTRAL,3.45,74.6,0.75,,,,,,28.8,0.0,,16.6,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 49% up volume)",MEGA_FLOAT,2752.5,3.0,23.8,35.0,False,up,42.2,2.0,,0.0,,0.0,0.0,9.0,27.0,70.4,Medio,37.6,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,31.450000000000003,-3.0,0.0,3.0,3.0,0.0,5.0,2.14,2.14,1.0,0.0,1.5,25.3,7.8,,3.16,0.0,2.0,82.0,0,,0,MIXED/INSUFFICIENT (0),,0.0,44,,,19.05,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,85,"Upside of ~25% is realistic, ROE (18.6%) and margin (11.3%) exceed quality thresholds, debt/equity (0.84) is low, and three analysts support the target price, indicating a solid fundamental case.",True,,claude,63.15,60.67,79.89,3.92,26.5,BUY NOW - At target entry price,False,5.239430713181137,17.458657103008566,0.23851714022713466,6.69710806697108,,,,,,,,,,,,,,anual,49.2,C,Sin deterioro: ingresos +5.2% y margen +0.2 pts — la caída no tiene motivo real | ROE 19% (bueno) | DCF: +44% margen | R:R 3.2:1 (bueno),5,0
DPZ,0.0,,,,6.1,"Domino's Pizza, Inc.",60.0,Consumer Cyclical,Restaurants,80.0,60.0,24.0,65.0,65.0,310.82,10282465280.0,15.0,9.6,False,flat,3.6,True,1.0,4.3,True,1.0,10.0,3.5,True,446.49,-30.4,0.0,False,"{'current_ratio': 1.54, 'operating_margin_pct': 19.1}","{'eps_growth_yoy': 3.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.9}",381.0,450.0,270.0,28.0,buy,22.6,277.55,-10.7,169.4,-45.5,5.17,16.07,2.46,42.3,1.25,True,-3.79,4.9,4.8,27.0,2026-10-13,False,False,8.0,STRONG,6.34,107.8,2.19,,,,,,0.0,0.0,1.8,18.0,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEDIUM_FLOAT,30.2,22.0,19.8,15.0,False,flat,9.6,0.0,True,1.0,True,1.0,5.0,23.0,27.0,18.5,Bottom 25%,13.7,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,40.305,0.0,0.0,6.0,3.0,3.0,1.0,0.09,0.19,0.0,0.0,0.0,-10.7,50.7,ALTA,2.82,2.0,10.0,15.0,0,,0,UNRELIABLE/INSUFFICIENT (0),,0.0,28,0.0606,BAJA,0.0,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,70,"Margin above 10% and solid analyst coverage with a realistic 22.6% upside; despite missing ROE and debt data, no red flags appear, supporting a buy recommendation.",True,,claude,310.82,302.56,430.04,2.66,38.36,BUY NOW - At target entry price,False,4.303650894559996,19.08463221276813,-0.22831008968466193,3.070613715799797,16.64464495294431,19.31311847797247,1.569219675077991,25.6220992745886,-24.623200187477334,3.4000000000000004,6.9155999999999995,41.84152188195931,,,,,,,46.9,C,"Negocio sano: ingresos +4.3% y beneficio operativo al alza (margen -0.2 pts, absorbido por el crecimiento) | Cotiza 25% por debajo de su múltiplo histórico | FCF Yield 5.2% (bueno) | Buy (28 analistas) || RED FLAGS: DCF ligeramente por debajo (-11%)",8,1
MSCI,0.0,,,,17.5,MSCI Inc.,60.7,Financial Services,Financial Data & Stock Exchanges,85.0,60.0,36.0,50.0,55.0,544.6,39592419328.0,15.0,3.5,False,down,12.6,False,0.0,12.2,False,0.0,1.9,2.0,False,644.77,-15.5,3.0,False,"{'current_ratio': 0.89, 'operating_margin_pct': 56.3}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.7}",692.06,760.0,570.0,17.0,none,27.1,473.77,-13.0,358.09,-34.2,3.02,16.43,1.48,42.1,1.01,True,-6.86,7.2,9.8,34.0,2026-10-20,False,False,8.0,STRONG,3.72,851.3,1.24,BULLISH,0.0,50.0,1.0,0.0,5.0,0.0,5.2,18.2,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 39% up volume)",HIGH_FLOAT,69.0,27.0,23.5,15.0,False,down,3.5,0.0,False,0.0,False,0.0,0.0,12.0,27.0,59.3,Medio,32.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,False,1/3,39.155,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-13.0,50.7,ALTA,3.39,0.0,10.0,31.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,-2.0,21,0.1748,BAJA,6.07,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,78,"The 27% upside is realistic, margin is strong at 40.7% and growth is solid at 12.2%. Analyst coverage is robust (17 analysts) and no red flags appear. Despite missing ROE and debt data, the available metrics support a positive outlook.",True,,claude,544.6,531.78,696.58,2.35,27.91,BUY NOW - At target entry price,False,12.203960139769631,56.22837370242215,1.1876075577346867,14.62497060898189,18.07,30.304371887105702,0.0,36.71372968471659,-17.457659171792105,9.8,20.560400000000012,46.05885753945071,,,,,,,45.4,C,Sin deterioro: ingresos +12.2% y margen +1.2 pts — la caída no tiene motivo real | +21% a 2 años sin necesitar reversión de múltiplo | Cotiza 17% por debajo de su múltiplo histórico | R:R 3.4:1 (bueno) || RED FLAGS: DCF ligeramente por debajo (-13%),8,1
WST,0.0,,,,21.7,"West Pharmaceutical Services, Inc.",82.2,Healthcare,Medical Instruments & Supplies,100.0,60.0,84.7,95.0,60.0,365.0,25687152640.0,100.0,94.3,True,flat,16.8,True,2.0,13.8,False,0.0,3.6,4.3,False,386.0,-5.4,8.0,True,"{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'eps_growth_yoy': 16.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}",405.38,459.0,340.0,16.0,strong_buy,11.1,107.46,-70.6,141.36,-61.3,1.08,3.95,0.25,11.1,0.25,True,-1.78,155.1,18.1,36.0,2026-10-22,False,False,7.0,NEUTRAL,2.35,19.0,2.02,,,,,,59.2,0.0,6.5,24.7,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,69.9,0.0,31.2,100.0,True,flat,94.3,10.0,True,2.0,False,0.0,5.0,14.0,27.0,51.9,Medio,27.1,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,3/3,40.965,5.0,0.0,0.0,0.0,3.0,5.0,0.16,0.16,0.0,0.0,0.0,-61.3,77.0,ALTA,1.39,2.0,5.0,115.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,-6.0,44,0.2173,BAJA,32.22,⚪ WEAK,🔴 Weak,HOLD,45.0,Close to ATH (-5.4% from high) - wait for pullback | Elevated P/E (46.7) - watch valuation,-5.4,NEUTRAL,STRONG_BUY,True,,,,BUY,85,"Upside is modest and realistic, strong ROE and margin, very low debt, and solid analyst coverage; no red flags detected.",True,,claude,357.7,329.08,447.13,8.0,25.0,BUY ON PULLBACK - Wait for 2-5% dip,False,13.803000652315722,21.99931216324659,1.2687185559406515,20.767778477029573,8.186236154932853,41.15933056695012,4.6833267894226704,41.95741581881596,-1.9021315690942453,9.049999999999999,18.919025,21.22488174527404,,,,,,,42.3,C,Sin deterioro: ingresos +13.8% y margen +1.3 pts — la caída no tiene motivo real | +19% a 2 años sin necesitar reversión de múltiplo | ROE 19% (bueno) | Deuda minima (0.11) || RED FLAGS: DCF dice SOBREVALORADA (-71%),6,1
MCD,0.0,,,,50.0,McDonald's Corporation,61.5,Consumer Cyclical,Restaurants,85.0,60.0,24.0,65.0,65.0,252.78,178877628416.0,15.0,2.1,False,down,4.8,True,1.0,3.8,True,1.0,1.9,2.7,False,341.75,-26.0,0.0,False,"{'current_ratio': 1.08, 'operating_margin_pct': 46.5}","{'eps_growth_yoy': 4.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 31.7}",312.84,407.0,250.0,31.0,buy,23.8,146.0,-42.2,120.8,-52.2,3.5,8.85,2.89,59.7,2.24,True,-1.3,7.9,4.0,50.0,2026-11-05,False,False,6.0,NEUTRAL,5.36,29.1,3.17,,,,,,0.0,0.0,,18.4,2026-09-16 04:56:07,2026-09-16,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 37% up volume)",MEGA_FLOAT,706.6,30.0,26.4,15.0,False,down,2.1,0.0,True,1.0,True,1.0,5.0,23.0,27.0,18.5,Bottom 25%,13.7,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,39.6,0.0,0.0,3.0,3.0,3.0,1.0,-0.81,-1.02,0.0,1.0,0.0,-42.2,71.0,ALTA,2.98,2.0,2.0,67.0,0,,0,MIXED/WATCH (0),,0.0,0,,,0.0,⚪ WEAK,🔴 Weak,,,,,,,,,,,BUY,78,"Upside of ~24% is realistic, strong margin, solid growth, and ample analyst coverage; despite missing ROE/debt data, no red flags appear, supporting a buy recommendation.",True,,claude,252.78,247.11,339.59,2.24,34.34,BUY NOW - At target entry price,False,3.755662721028785,46.50704225352113,-1.1474952300387145,1.2572830420116476,12.138319542476669,20.8249584397103,0.48277766950884815,24.07725885882495,-13.507768630076411,2.85,5.781225000000001,22.301417508328814,,,,,,,40.0,C,"Negocio sano: ingresos +3.8% y beneficio operativo al alza (margen -1.1 pts, absorbido por el crecimiento) | Buy (31 analistas) | Buyback activo | Dividendo 2.9% (payout 60%) || RED FLAGS: DCF dice SOBREVALORADA (-42%)",7,1
