ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,56.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,70.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 13.4},{},"{'rs_3m': np.float64(-8.3), 'rs_6m': np.float64(-9.7)}","{'roe_pct': 6.4, 'debt_to_equity': 0.53, 'current_ratio': 1.0, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 35.3}",9058.0,44319232000,Financial Services,Financial Data & Stock Exchanges,,,False,11435.0,-20.8,4,False,12258.12,13600.0,11000.0,16.0,strong_buy,35.3,17800.0,96.5,7110.0,-21.5,4.63,4.2,1.66,57.4,1.5,1.26,,,,80.4,59,2026-07-30,False,False,7,NEUTRAL,4.14,305.7,0.21,24.8,,,,2026-06-01T10:57:33.655190,FTSE100,42.6,3.0,5.0,0.0,5.0,4.41,3.0,0.0,CONFIRMED_UPTREND
GIVN.SW,GIVAUDAN N,53.5,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,80.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 14.3},{},"{'rs_3m': np.float64(-13.8), 'rs_6m': np.float64(-22.6)}","{'roe_pct': 23.4, 'debt_to_equity': 0.97, 'current_ratio': 1.74, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.1}",2876.0,26543171584,Basic Materials,Specialty Chemicals,,,False,4236.0,-32.1,1,False,3367.93,4500.0,2800.0,19.0,buy,17.1,1802.78,-37.3,1154.2,-59.9,4.26,122.52,2.48,60.6,72.0,1.93,,,,-3.3,52,2026-07-23,False,False,7,NEUTRAL,4.65,34.8,,20.6,,,,2026-06-01T10:57:39.362653,SMI20,42.4,3.0,5.0,0.0,0.0,2.14,1.0,0.0,CONFIRMED_UPTREND
RMS.PA,HERMES INTL,54.2,⭐ AVERAGE,🟡 Average,60.0,50.0,15.0,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 28.3},{},"{'rs_3m': np.float64(-27.6), 'rs_6m': np.float64(-34.1)}","{'roe_pct': 25.2, 'debt_to_equity': 0.12, 'current_ratio': 4.99, 'operating_margin_pct': 41.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.5}",1617.5,169517678592,Consumer Cyclical,Luxury Goods,,,False,2482.0,-34.8,0,False,2062.77,2600.0,1500.0,22.0,buy,27.5,567.17,-64.9,430.9,-73.4,2.38,38.55,1.11,37.2,18.0,0.63,,,,1.8,58,2026-07-29,False,False,8,STRONG,4.27,37.5,17.41,33.0,,,,2026-06-01T10:57:23.592632,CAC40,40.7,0.0,0.0,0.0,1.0,3.44,3.0,0.0,CONFIRMED_UPTREND
DSY.PA,DASSAULT SYSTEMES,59.5,⭐ AVERAGE,🟡 Average,90.0,30.0,30.0,90.0,55.0,,,,,30.9,False,0,-0.8,False,0,"{'eps_growth_yoy': np.float64(30.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9}","{'revenue_growth_yoy': np.float64(-0.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-3.9), 'rs_6m': np.float64(-30.2)}","{'roe_pct': 13.4, 'debt_to_equity': 0.27, 'current_ratio': 1.7, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 18.4}",19.435,25523826688,Technology,Software - Application,,,False,33.16,-41.4,1,False,23.02,33.35,15.0,20.0,hold,18.4,19.53,0.5,9.94,-48.9,4.93,0.96,1.44,28.3,0.27,0.62,True,-0.7,,4.3,52,2026-07-23,False,False,8,STRONG,6.69,42.9,1.28,32.4,,,,2026-06-01T10:59:13.641509,CAC40,38.8,3.0,0.0,3.0,1.0,2.3,1.0,0.0,CONFIRMED_UPTREND
LIFCO-B.ST,Lifco AB ser.B,57.0,⭐ AVERAGE,🟡 Average,70.0,50.0,30.0,80.0,55.0,,,,,7.8,False,0,3.6,False,0,"{'eps_growth_yoy': np.float64(7.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': np.float64(3.6), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-18.2), 'rs_6m': np.float64(-25.5)}","{'roe_pct': 19.3, 'debt_to_equity': 0.3, 'current_ratio': 1.05, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 18.7}",294.4,133721276416,Industrials,Conglomerates,,,False,408.8,-28.0,1,False,349.5,385.0,315.0,6.0,none,18.7,182.36,-38.1,81.5,-72.3,3.24,10.21,0.91,29.5,2.7,0.7,False,,,3.8,43,2026-07-14,False,False,7,NEUTRAL,3.69,163.9,4.85,26.1,,,,2026-06-01T10:59:08.134558,OMXSTO,36.8,3.0,0.0,0.0,1.0,2.34,1.0,0.0,CONFIRMED_UPTREND
HEIA.AS,HEINEKEN,48.5,⚠️ WEAK,🔴 Weak,50.0,50.0,35.0,50.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 6.6},{},"{'rs_3m': np.float64(-23.9), 'rs_6m': np.float64(-17.4)}","{'roe_pct': 9.9, 'debt_to_equity': 0.94, 'current_ratio': 0.93, 'operating_margin_pct': 13.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 28.7}",66.36,36998873088,Consumer Defensive,Beverages - Brewers,,,False,81.66,-18.7,2,False,85.38,120.0,70.0,23.0,buy,28.7,68.21,2.8,33.8,-49.1,5.78,3.84,2.83,56.5,1.9,1.95,,,,7.5,65,2026-08-05,False,False,7,NEUTRAL,6.68,25.0,1.57,29.1,,,,2026-06-01T10:59:26.984950,AEX25,36.4,6.0,5.0,0.0,3.0,3.59,3.0,0.0,CONFIRMED_UPTREND
CPR.MI,CAMPARI,51.0,⭐ AVERAGE,🟡 Average,55.0,30.0,50.0,70.0,65.0,,,,,,False,0,-2.8,False,0,"{'positive_quarters': 2, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 11.4}","{'revenue_growth_yoy': np.float64(-2.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-19.4), 'rs_6m': np.float64(-12.2)}","{'roe_pct': 8.6, 'debt_to_equity': 0.7, 'current_ratio': 2.22, 'operating_margin_pct': 17.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.9}",5.538,6638875648,Consumer Defensive,Beverages - Wineries & Distilleries,,,False,6.832,-18.9,3,False,6.97,10.2,5.3,21.0,buy,25.9,3.89,-29.8,2.9,-47.6,4.77,0.26,1.79,22.4,0.1,0.78,,,2.8,,58,2026-07-29,False,False,8,STRONG,6.5,18.0,1.31,55.8,,,,2026-06-01T10:59:24.350185,FTSEMIB,35.4,3.0,5.0,0.0,0.0,3.24,3.0,0.0,CONFIRMED_UPTREND
ATCO-B.ST,Atlas Copco AB ser. B,53.0,⭐ AVERAGE,🟡 Average,50.0,30.0,56.0,95.0,50.0,,,,,-5.1,False,0,-5.1,False,0,"{'eps_growth_yoy': np.float64(-5.1), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': np.float64(-5.1), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-16.6), 'rs_6m': np.float64(3.7)}","{'roe_pct': 22.4, 'debt_to_equity': 0.29, 'current_ratio': 1.7, 'operating_margin_pct': 20.4}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",157.0,765943414784,Industrials,Specialty Industrial Machinery,,,False,172.35,-8.9,6,False,,,,,none,,202.06,28.7,53.5,-65.9,2.8,13.73,1.91,56.1,3.0,1.61,False,,161.9,-2.6,45,2026-07-16,False,False,6,NEUTRAL,4.43,53.6,,29.7,,,,2026-06-01T10:58:29.758184,OMXSTO,35.0,0.0,5.0,0.0,0.0,,0.0,0.0,CONFIRMED_UPTREND
OR.PA,L'OREAL,57.0,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,80.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.9},{},"{'rs_3m': np.float64(-8.2), 'rs_6m': np.float64(-8.2)}","{'roe_pct': 18.0, 'debt_to_equity': 0.34, 'current_ratio': 1.45, 'operating_margin_pct': 19.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.9}",382.2,204012601344,Consumer Defensive,Household & Personal Products,,,False,408.35,-6.4,3,False,408.42,450.0,323.0,24.0,buy,6.9,163.01,-57.3,114.4,-70.1,2.9,11.08,1.88,61.2,7.2,1.52,,,,0.3,58,2026-07-29,False,False,6,NEUTRAL,4.3,69.9,64.8,26.4,,,,2026-06-01T10:57:31.066007,CAC40,34.8,0.0,5.0,0.0,1.0,0.86,-3.0,0.0,CONFIRMED_UPTREND
SU.PA,SCHNEIDER ELECTRIC SE,58.3,⭐ AVERAGE,🟡 Average,55.0,50.0,64.0,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 10.4},{},"{'rs_3m': np.float64(-4.6), 'rs_6m': np.float64(10.9)}","{'roe_pct': 15.6, 'debt_to_equity': 0.81, 'current_ratio': 1.19, 'operating_margin_pct': 17.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 7.2}",279.3,157147938816,Industrials,Specialty Industrial Machinery,,,False,287.9,-3.0,7,True,299.3,340.0,250.0,23.0,strong_buy,7.2,104.19,-62.7,79.6,-71.5,2.54,7.08,1.56,48.9,4.2,1.78,,,,-6.2,59,2026-07-30,False,False,6,NEUTRAL,4.02,74.6,,39.5,,,,2026-06-01T10:58:27.066631,CAC40,34.3,0.0,5.0,0.0,0.0,0.9,-3.0,0.0,CONFIRMED_UPTREND
