ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
AI.PA,AIR LIQUIDE,55.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.1},{},"{'rs_3m': np.float64(-7.5), 'rs_6m': np.float64(-2.3)}","{'roe_pct': 13.4, 'debt_to_equity': 0.51, 'current_ratio': 1.17, 'operating_margin_pct': 19.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.3}",177.24,102282944512,Basic Materials,Specialty Chemicals,,,False,189.8,-6.6,5,False,197.3,216.0,168.0,20.0,buy,11.3,42.84,-75.8,60.7,-65.8,1.49,2.64,2.08,54.3,3.7,1.83,,,,5.3,57,2026-07-28,False,False,7,NEUTRAL,4.38,18.8,4.3,21.6,,,,2026-06-01T10:57:28.661904,CAC40,34.2,0.0,5.0,0.0,3.0,1.41,0.0,0.0,CONFIRMED_UPTREND
IMCD.AS,IMCD,56.6,⭐ AVERAGE,🟡 Average,50.0,50.0,60.5,70.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 4.5},{},"{'rs_3m': np.float64(7.3), 'rs_6m': np.float64(6.0)}","{'roe_pct': 10.2, 'debt_to_equity': 0.88, 'current_ratio': 1.74, 'operating_margin_pct': 7.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.1}",89.56,5286980096,Basic Materials,Specialty Chemicals,,,False,122.6,-26.9,3,False,112.0,150.0,75.0,14.0,buy,25.1,75.65,-15.5,36.8,-58.9,5.74,5.14,2.05,58.4,1.81,1.54,,,,-37.5,58,2026-07-29,False,False,5,NEUTRAL,5.33,39.3,,27.1,,,,2026-06-01T10:57:50.453642,AEX25,33.6,6.0,5.0,0.0,-3.0,3.14,3.0,0.0,CONFIRMED_UPTREND
SAF.PA,SAFRAN,57.0,⭐ AVERAGE,🟡 Average,60.0,50.0,50.0,70.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 23.0},{},"{'rs_3m': np.float64(-19.5), 'rs_6m': np.float64(-6.6)}","{'roe_pct': 55.6, 'debt_to_equity': 0.34, 'current_ratio': 0.93, 'operating_margin_pct': 13.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.6}",302.4,125630676992,Industrials,Aerospace & Defense,,,False,350.8,-13.8,5,False,343.43,400.0,257.0,22.0,buy,13.6,,,214.75,-29.0,-1.36,-4.1,1.1,16.9,3.35,0.75,,,,,57,2026-07-28,False,False,7,NEUTRAL,8.22,166.3,1.09,46.5,,,,2026-06-01T10:58:11.474604,CAC40,32.8,-5.0,0.0,0.0,0.0,1.7,0.0,0.0,CONFIRMED_UPTREND
SIKA.SW,SIKA N,54.5,⭐ AVERAGE,🟡 Average,50.0,50.0,50.0,70.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 9.3},{},"{'rs_3m': np.float64(-11.1), 'rs_6m': np.float64(-8.1)}","{'roe_pct': 15.2, 'debt_to_equity': 0.83, 'current_ratio': 1.25, 'operating_margin_pct': 10.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.0}",152.2,24418852864,Basic Materials,Specialty Chemicals,,,False,223.3,-31.8,1,False,179.55,250.0,122.0,22.0,buy,18.0,107.53,-29.3,65.0,-57.3,4.8,7.31,2.41,55.4,3.7,1.41,,,,-46.5,56,2026-07-27,False,False,7,NEUTRAL,5.16,45.5,,23.9,,,,2026-06-01T10:58:22.133362,SMI20,32.8,3.0,5.0,0.0,-3.0,2.25,1.0,0.0,CONFIRMED_UPTREND
DPLM.L,DIPLOMA PLC ORD 5P,62.6,⭐⭐ GOOD,🟡 Good,55.0,50.0,74.5,85.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 11.5},{},"{'rs_3m': np.float64(12.0), 'rs_6m': np.float64(15.6)}","{'roe_pct': 19.0, 'debt_to_equity': 0.47, 'current_ratio': 2.06, 'operating_margin_pct': 19.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.5}",6950.0,9319591936,Industrials,Industrial Distribution,,,False,7295.0,-4.7,7,True,7471.25,9000.0,5760.0,16.0,buy,7.5,2857.0,-58.9,1400.0,-79.9,2.62,1.82,0.9,44.2,0.63,1.49,,,,4.5,169,2026-11-17,False,False,8,STRONG,2.79,60.5,6.23,29.0,,,,2026-06-01T10:57:53.075474,FTSE100,32.0,0.0,0.0,0.0,1.0,0.94,-3.0,0.0,CONFIRMED_UPTREND
GEBN.SW,GEBERIT N,46.8,⚠️ WEAK,🔴 Weak,55.0,50.0,15.0,65.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 19.2},{},"{'rs_3m': np.float64(-29.2), 'rs_6m': np.float64(-28.5)}","{'debt_to_equity': 0.89, 'operating_margin_pct': 28.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 9.8}",508.8,16777032704,Industrials,Building Products & Equipment,,,False,659.8,-22.9,1,False,558.41,698.0,430.0,17.0,hold,9.8,,,180.2,-64.6,,,2.51,70.9,12.9,2.31,,,,1.7,79,2026-08-19,False,False,7,NEUTRAL,4.31,49.8,5.92,18.0,,,,2026-06-01T10:58:47.268563,SMI20,31.7,0.0,5.0,0.0,1.0,1.23,0.0,0.0,CONFIRMED_UPTREND
STMN.SW,STRAUMANN N,59.2,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,95.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 13.7},{},"{'rs_3m': np.float64(-7.4), 'rs_6m': np.float64(-13.4)}","{'roe_pct': 17.0, 'debt_to_equity': 0.19, 'current_ratio': 2.21, 'operating_margin_pct': 23.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.8}",94.16,15013888000,Healthcare,Medical Instruments & Supplies,,,False,111.75,-15.7,3,False,107.11,123.0,81.0,18.0,buy,13.8,31.72,-66.3,22.3,-76.3,2.29,2.16,1.06,42.6,1.0,0.68,,,,-17.7,79,2026-08-19,False,False,6,NEUTRAL,3.13,28.8,,33.0,,,,2026-06-01T10:58:00.426902,SMI20,29.7,0.0,0.0,0.0,-3.0,1.72,0.0,0.0,CONFIRMED_UPTREND
INDT.ST,Indutrade AB,46.2,⚠️ WEAK,🔴 Weak,45.0,50.0,15.0,75.0,60.0,,,,,-3.9,False,0,0.3,False,0,"{'eps_growth_yoy': np.float64(-3.9), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 7.9}","{'revenue_growth_yoy': np.float64(0.3), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-28.1), 'rs_6m': np.float64(-27.3)}","{'roe_pct': 14.7, 'debt_to_equity': 0.55, 'current_ratio': 1.91, 'operating_margin_pct': 11.1}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 34.6}",190.7,69476392960,Industrials,Industrial Distribution,,,False,274.6,-30.6,0,False,256.62,305.0,225.0,8.0,none,34.6,118.51,-37.9,69.7,-63.5,4.22,8.05,1.6,44.5,3.1,1.06,False,,,-2.1,45,2026-07-16,False,False,8,STRONG,4.84,33.7,,24.8,,,,2026-06-01T10:59:05.711511,OMXSTO,29.5,3.0,5.0,0.0,0.0,4.32,3.0,0.0,CONFIRMED_UPTREND
DSV.CO,DSV A/S,58.0,⭐ AVERAGE,🟡 Average,45.0,80.0,56.0,45.0,65.0,,,,,-49.4,False,0,64.7,False,0,"{'eps_growth_yoy': np.float64(-49.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 2.5}","{'revenue_growth_yoy': np.float64(64.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-9.7), 'rs_6m': np.float64(4.8)}","{'roe_pct': 6.2, 'debt_to_equity': 0.77, 'current_ratio': 0.92, 'operating_margin_pct': 7.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 26.7}",1613.5,384925401088,Industrials,Integrated Freight & Logistics,,,False,1913.5,-15.7,7,True,2044.05,2250.0,1580.0,20.0,strong_buy,26.7,1337.2,-17.1,355.7,-78.0,5.63,90.88,0.43,19.7,7.0,0.47,False,,5.0,-42.9,51,2026-07-22,False,False,7,NEUTRAL,3.38,30.4,,43.6,,,,2026-06-01T10:58:03.414943,OMXCPH,29.2,6.0,0.0,0.0,-3.0,3.34,3.0,0.0,CONFIRMED_UPTREND
KNEBV.HE,KONE Corporation,45.0,⚠️ WEAK,🔴 Weak,45.0,50.0,15.0,70.0,55.0,,,,,-0.2,False,0,1.3,False,0,"{'eps_growth_yoy': np.float64(-0.2), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 8.7}","{'revenue_growth_yoy': np.float64(1.3), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(-27.7), 'rs_6m': np.float64(-20.1)}","{'roe_pct': 46.6, 'debt_to_equity': 0.42, 'current_ratio': 0.95, 'operating_margin_pct': 10.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 19.8}",51.46,26670876672,Industrials,Specialty Industrial Machinery,,,False,70.0,-26.5,1,False,61.67,84.0,45.0,23.0,hold,19.8,31.97,-37.9,18.9,-63.3,3.6,2.17,3.52,95.2,1.8,3.51,False,,26.2,,51,2026-07-22,False,False,8,STRONG,5.21,101.2,1.82,22.3,,,,2026-06-01T10:58:08.879751,OMXHEL,28.0,3.0,-2.0,0.0,0.0,2.48,1.0,0.0,CONFIRMED_UPTREND
SY1.DE,Symrise AG                    I,55.0,⭐ AVERAGE,🟡 Average,50.0,50.0,56.0,65.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 5.1},{},"{'rs_3m': np.float64(-6.2), 'rs_6m': np.float64(0.4)}","{'roe_pct': 6.5, 'debt_to_equity': 0.7, 'current_ratio': 2.52, 'operating_margin_pct': 8.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.2}",78.52,10974901248,Basic Materials,Specialty Chemicals,,,False,107.2,-26.8,3,False,92.06,110.0,72.0,18.0,buy,17.2,24.14,-69.3,17.8,-77.3,2.09,1.64,1.58,67.4,1.25,1.07,,,,,59,2026-07-30,False,False,6,NEUTRAL,3.76,13.5,2.25,23.9,,,,2026-06-01T10:58:49.959812,DAX40,28.0,0.0,5.0,0.0,0.0,2.15,1.0,0.0,CONFIRMED_UPTREND
ERF.PA,EUROFINS SCIENT.,53.2,⭐ AVERAGE,🟡 Average,50.0,50.0,50.0,65.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 6.5},{},"{'rs_3m': np.float64(-17.9), 'rs_6m': np.float64(-4.6)}","{'roe_pct': 9.5, 'debt_to_equity': 0.97, 'current_ratio': 1.09, 'operating_margin_pct': 13.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.0}",62.18,10863239168,Healthcare,Diagnostics & Research,,,False,74.32,-16.3,2,False,70.89,86.0,48.0,14.0,buy,14.0,114.91,84.8,73.69,18.5,4.53,2.82,1.15,23.5,0.72,0.48,,,,11.6,50,2026-07-21,False,False,7,NEUTRAL,5.52,27.2,0.46,20.0,,,,2026-06-01T10:59:10.857555,CAC40,27.3,3.0,0.0,0.0,3.0,1.75,0.0,0.0,CONFIRMED_UPTREND
BEI.DE,BEIERSDORF AG                 I,49.8,⚠️ WEAK,🔴 Weak,50.0,50.0,15.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 9.5},{},"{'rs_3m': np.float64(-43.1), 'rs_6m': np.float64(-35.3)}","{'roe_pct': 11.2, 'debt_to_equity': 0.03, 'current_ratio': 1.9, 'operating_margin_pct': 11.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 26.9}",69.62,15213624320,Consumer Defensive,Household & Personal Products,,,False,120.3,-42.1,0,False,88.37,110.0,68.0,19.0,buy,26.9,49.51,-28.9,83.3,19.6,2.47,1.72,1.45,23.5,1.0,0.74,,,,13.7,65,2026-08-05,False,False,6,NEUTRAL,10.82,23.0,0.78,23.9,,,,2026-06-01T10:58:52.706219,DAX40,25.9,0.0,0.0,0.0,3.0,3.36,3.0,0.0,CONFIRMED_UPTREND
