ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,entry_price,entry_date,snapshot_id,return_7d,exit_price_7d
ISBA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,48.540000915527344,2026-02-08,20260208_183944,,
CBKM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,26.200000762939453,2026-02-08,20260208_183944,,
AUBN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,24.6299991607666,2026-02-08,20260208_183944,,
LAKE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,9.649999618530272,2026-02-08,20260208_183944,,
GTE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.480000019073486,2026-02-08,20260208_183944,,
STEX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.2799999713897705,2026-02-08,20260208_183944,,
EML,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,19.46999931335449,2026-02-08,20260208_183944,,
GPUS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.209999993443489,2026-02-08,20260208_183944,,
ONMD,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.7300000190734863,2026-02-08,20260208_183944,,
MIGI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.5199999809265137,2026-02-08,20260208_183944,,
SQNS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.7300000190734863,2026-02-08,20260208_183944,,
BUKS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.990000009536743,2026-02-08,20260208_183944,,
ALMS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,26.190000534057617,2026-02-08,20260208_183944,,
NEWT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,13.9399995803833,2026-02-08,20260208_183944,,
IMRX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.929999828338623,2026-02-08,20260208_183944,,
RNXT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9900000095367432,2026-02-08,20260208_183944,,
ANDG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,21.420000076293945,2026-02-08,20260208_183944,,
GAIA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.2300000190734863,2026-02-08,20260208_183944,,
CMTV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,32.18000030517578,2026-02-08,20260208_183944,,
PRPO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,20.059999465942383,2026-02-08,20260208_183944,,
NAVN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.850000381469728,2026-02-08,20260208_183944,,
ALT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.869999885559082,2026-02-08,20260208_183944,,
NEXT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.239999771118164,2026-02-08,20260208_183944,,
SRZN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,22.799999237060547,2026-02-08,20260208_183944,,
MLP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,17.1200008392334,2026-02-08,20260208_183944,,
BETA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,16.600000381469727,2026-02-08,20260208_183944,,
LFT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.350000023841858,2026-02-08,20260208_183944,,
VAC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,55.58000183105469,2026-02-08,20260208_183944,,
RGCO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,21.850000381469727,2026-02-08,20260208_183944,,
GLP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,46.93999862670898,2026-02-08,20260208_183944,,
DGICA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,18.979999542236328,2026-02-08,20260208_183944,,
DMLP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,24.530000686645508,2026-02-08,20260208_183944,,
FGBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,8.930000305175781,2026-02-08,20260208_183944,,
AVBC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,19.40999984741211,2026-02-08,20260208_183944,,
HYPD,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.139999866485596,2026-02-08,20260208_183944,,
BMNM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.450000047683716,2026-02-08,20260208_183944,,
SMRT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.75,2026-02-08,20260208_183944,,
EMBY,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,,2026-02-08,20260208_183944,,
JYNT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,9.720000267028809,2026-02-08,20260208_183944,,
TOFB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.6700000166893005,2026-02-08,20260208_183944,,
OTH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.5299999713897705,2026-02-08,20260208_183944,,
GLSI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,29.0,2026-02-08,20260208_183944,,
AKTS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,18.979999542236328,2026-02-08,20260208_183944,,
PROP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.8200000524520876,2026-02-08,20260208_183944,,
WERN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,34.7599983215332,2026-02-08,20260208_183944,,
VRCA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.909999847412109,2026-02-08,20260208_183944,,
CR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,196.22000122070312,2026-02-08,20260208_183944,,
CCFN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,62.79999923706055,2026-02-08,20260208_183944,,
NWFL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,31.88999938964844,2026-02-08,20260208_183944,,
GME,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,24.979999542236328,2026-02-08,20260208_183944,,
WBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,22.93000030517578,2026-02-08,20260208_183944,,
CJMB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.809999942779541,2026-02-08,20260208_183944,,
EP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.569999933242798,2026-02-08,20260208_183944,,
WYY,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.599999904632568,2026-02-08,20260208_183944,,
YYAI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.149999976158142,2026-02-08,20260208_183944,,
COCP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9700000286102296,2026-02-08,20260208_183944,,
MPB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,34.61000061035156,2026-02-08,20260208_183944,,
COO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,82.0999984741211,2026-02-08,20260208_183944,,
FMBM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,31.75,2026-02-08,20260208_183944,,
MDBH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.2100000381469727,2026-02-08,20260208_183944,,
IMNM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,24.8799991607666,2026-02-08,20260208_183944,,
AMR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,206.32000732421875,2026-02-08,20260208_183944,,
MDRR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,11.25,2026-02-08,20260208_183944,,
APRE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.6899999976158142,2026-02-08,20260208_183944,,
NRIM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,25.850000381469727,2026-02-08,20260208_183944,,
UA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,7.340000152587891,2026-02-08,20260208_183944,,
GABC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,44.369998931884766,2026-02-08,20260208_183944,,
SAIC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,98.36000061035156,2026-02-08,20260208_183944,,
MRUS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,,2026-02-08,20260208_183944,,
SELF,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.070000171661377,2026-02-08,20260208_183944,,
FUSB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,15.59000015258789,2026-02-08,20260208_183944,,
VANI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.2599999904632568,2026-02-08,20260208_183944,,
SVCO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.890000104904175,2026-02-08,20260208_183944,,
TENX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,12.729999542236328,2026-02-08,20260208_183944,,
CWBC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,25.40999984741211,2026-02-08,20260208_183944,,
IVFH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.449999988079071,2026-02-08,20260208_183944,,
MSTR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,134.92999267578125,2026-02-08,20260208_183944,,
VENU,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.730000019073486,2026-02-08,20260208_183944,,
RLMD,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.880000114440918,2026-02-08,20260208_183944,,
SCKT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.1200000047683716,2026-02-08,20260208_183944,,
NWBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,13.34000015258789,2026-02-08,20260208_183944,,
ACRV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.6699999570846558,2026-02-08,20260208_183944,,
ADC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,74.73999786376953,2026-02-08,20260208_183944,,
NWTG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.4600000381469729,2026-02-08,20260208_183944,,
BH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,415.8999938964844,2026-02-08,20260208_183944,,
GRNT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.099999904632568,2026-02-08,20260208_183944,,
HYNE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,14.229999542236328,2026-02-08,20260208_183944,,
SRBK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,17.5,2026-02-08,20260208_183944,,
UTZ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.979999542236328,2026-02-08,20260208_183944,,
NKE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,63.91999816894531,2026-02-08,20260208_183944,,
AGIG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.0,2026-02-08,20260208_183944,,
MDLN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,47.29999923706055,2026-02-08,20260208_183944,,
TTRX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.849999904632568,2026-02-08,20260208_183944,,
CDNL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,26.40999984741211,2026-02-08,20260208_183944,,
