ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
UNH,88.16666666666667,Excellent,Stage 2 Strong,25.590292854124,50.0,UnitedHealth Group Incorporated,71.9,Healthcare,Healthcare Plans,100.0,50.0,79.4,50.0,60.0,418.52,380076589056.0,80.0,84.6,False,up,84.4,True,1.0,0.1,False,0.0,2.3,2.5,False,434.3,-3.6,8.0,True,"{'roe_pct': 12.2, 'debt_to_equity': 0.74, 'current_ratio': 0.8, 'operating_margin_pct': 8.0}","{'eps_growth_yoy': 84.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 2.7}",424.23,492.0,287.0,26.0,buy,1.4,286.58,-31.5,130.6,-68.8,4.65,19.48,2.18,66.6,1.65,True,-0.67,4.7,0.7,0.0,2026-07-16,True,False,6.0,NEUTRAL,4.31,173.8,28.42,,,,,,100.0,35.3,,21.6,2026-07-16 06:30:58,2026-07-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",MEGA_FLOAT,905.4,3.0,81.2,80.0,False,up,84.6,5.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,84.6,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,False,3/3,37.260000000000005,8.0,0.0,3.0,3.0,3.0,1.0,1.48,4.14,3.0,0.0,1.5,0.18,-3.0,2.0,26,0,,8,RELIABLE/BUY (+8),,0.0,45,,,81.27333333333334,-31.5,51.6,ALTA,⚡ STRONG,🟢 Elite,AVOID,35.0,Near ATH (-3.6% from high) - poor entry point,-3.6,NEUTRAL,BUY,False
ETN,79.04347826086956,Excellent,Stage 2 (Uptrend),17.047243981322698,50.0,"Eaton Corporation, PLC",61.5,Industrials,Specialty Industrial Machinery,50.0,70.0,62.4,70.0,60.0,412.86,160313524224.0,60.0,54.3,False,down,-11.8,False,0.0,6.0,True,2.0,2.4,3.7,False,436.74,-5.5,7.0,True,"{'roe_pct': 20.8, 'debt_to_equity': 1.1, 'current_ratio': 1.19, 'operating_margin_pct': 16.1}","{'eps_growth_yoy': -11.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.0}",455.79,534.0,321.0,25.0,buy,10.4,100.29,-75.7,101.6,-75.4,1.65,6.82,1.06,41.3,1.55,True,-0.78,16.5,-9.4,15.0,2026-07-31,False,True,7.0,NEUTRAL,2.85,64.1,,,,,,,81.5,31.6,,18.4,2026-07-16 06:30:58,2026-07-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,387.7,5.0,71.5,60.0,False,down,54.3,0.0,False,0.0,True,2.0,2.0,6,29.0,82.8,Top 25%,36.5,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,51.6,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.9,0.0,0.0,0.0,1.3,2.0,5.0,96,0,,2,RELIABLE/WATCH (+2),WATCH,0.0,41,,,65.17173913043479,-75.4,86.0,ALTA,📈 GOOD,🟢 Excellent,HOLD,45.0,Close to ATH (-5.5% from high) - wait for pullback | Elevated P/E (40.6) - watch valuation,-5.5,NEUTRAL,BUY,True
TT,74.36842105263158,Excellent,Stage 2 Early,13.7803822604072,50.0,Trane Technologies plc,56.5,Industrials,Building Products & Equipment,60.0,40.0,52.4,80.0,60.0,480.2,106150838272.0,35.0,45.3,False,down,-31.8,True,1.0,-13.5,True,1.0,2.1,3.1,False,505.87,-5.1,7.0,True,"{'roe_pct': 36.6, 'debt_to_equity': 0.54, 'current_ratio': 1.09, 'operating_margin_pct': 15.5}","{'eps_growth_yoy': -31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.4}",523.36,570.0,402.0,22.0,buy,9.0,177.22,-63.1,130.1,-72.9,2.51,12.04,0.87,29.6,1.2,True,-1.22,17.3,-1.5,14.0,2026-07-30,False,True,9.0,STRONG,3.56,102.0,,,,,,,76.7,29.7,,16.9,2026-07-16 06:30:58,2026-07-16,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,220.5,5.0,66.7,35.0,False,down,45.3,0.0,True,1.0,True,1.0,5.0,15,29.0,51.7,Medio,26.9,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,2/3,37.599999999999994,8.0,0.0,0.0,0.0,3.0,0.0,0.19,0.35,0.0,0.0,0.0,1.12,0.0,10.0,69,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,36,,,62.334210526315786,-63.1,77.0,ALTA,📊 DECENT,🟡 Good,HOLD,45.0,Close to ATH (-5.1% from high) - wait for pullback | Elevated P/E (36.9) - watch valuation,-5.1,NEUTRAL,BUY,False
