Price,Close,High,Low,Open,Volume
Ticker,DASH,DASH,DASH,DASH,DASH
Date,,,,,
2025-08-15,248.0,249.69000244140625,243.55999755859375,248.30999755859375,3084800
2025-08-18,253.33999633789062,254.16000366210938,248.69500732421875,248.99000549316406,3214600
2025-08-19,248.3699951171875,253.2899932861328,248.10000610351562,250.52999877929688,2568500
2025-08-20,243.82000732421875,246.4199981689453,233.11000061035156,244.0,6572900
2025-08-21,245.17999267578125,245.33999633789062,241.95899963378906,243.47000122070312,2439600
2025-08-22,247.32000732421875,248.18499755859375,242.8090057373047,245.0,2812700
2025-08-25,245.27999877929688,247.50999450683594,242.77000427246094,247.0800018310547,2020000
2025-08-26,248.7899932861328,249.55999755859375,244.89999389648438,245.55999755859375,3104500
2025-08-27,245.64999389648438,248.4199981689453,244.0399932861328,248.00999450683594,2977300
2025-08-28,247.3300018310547,248.47999572753906,244.13999938964844,245.82000732421875,1858900
2025-08-29,245.25,248.81399536132812,242.9600067138672,247.35000610351562,1966600
2025-09-02,244.10000610351562,244.74000549316406,238.1999969482422,240.88999938964844,2683900
2025-09-03,248.8300018310547,254.10000610351562,243.06500244140625,244.0449981689453,3541400
2025-09-04,248.77999877929688,250.6999969482422,244.25999450683594,248.8300018310547,2507100
2025-09-05,246.85000610351562,251.49000549316406,243.5500030517578,249.71499633789062,2195800
2025-09-08,250.60000610351562,254.9600067138672,248.2989959716797,249.39999389648438,3333600
2025-09-09,256.5299987792969,257.1050109863281,249.77999877929688,252.08999633789062,3042800
2025-09-10,257.42999267578125,258.79998779296875,252.5500030517578,257.57000732421875,4631000
2025-09-11,260.19000244140625,262.4800109863281,258.2200012207031,258.82000732421875,2357200
2025-09-12,257.9800109863281,261.42999267578125,255.46499633789062,259.0400085449219,2215900
2025-09-15,258.0899963378906,260.55999755859375,256.2900085449219,257.7699890136719,2592400
2025-09-16,263.0899963378906,263.42999267578125,257.2300109863281,257.94000244140625,2926600
2025-09-17,259.25,266.3699951171875,253.86000061035156,263.07000732421875,3197300
2025-09-18,268.07000732421875,268.2900085449219,258.1499938964844,258.9200134277344,3058700
2025-09-19,265.2900085449219,269.05999755859375,264.0,268.5799865722656,10684200
2025-09-22,262.75,266.55999755859375,262.4200134277344,264.5199890136719,2952200
2025-09-23,265.75,267.7699890136719,261.0,261.9200134277344,2248800
2025-09-24,260.739990234375,268.5799865722656,259.7049865722656,266.1600036621094,3148100
2025-09-25,262.0799865722656,263.760009765625,257.5,258.4849853515625,1886500
2025-09-26,262.4700012207031,264.20001220703125,259.3630065917969,263.44000244140625,1603200
