Price,Close,High,Low,Open,Volume
Ticker,CPAY,CPAY,CPAY,CPAY,CPAY
Date,,,,,
2025-08-15,317.6600036621094,324.0400085449219,316.8299865722656,322.010009765625,543100
2025-08-18,316.5,317.75,313.739990234375,317.70001220703125,385300
2025-08-19,320.67999267578125,321.2099914550781,315.510009765625,317.75,339700
2025-08-20,316.4200134277344,321.82000732421875,314.4200134277344,320.20001220703125,495100
2025-08-21,317.6600036621094,317.9800109863281,309.5,315.30999755859375,376300
2025-08-22,331.19000244140625,331.54998779296875,318.44000244140625,320.05999755859375,360700
2025-08-25,322.5299987792969,330.92999267578125,321.3699951171875,329.5400085449219,523900
2025-08-26,325.1700134277344,326.0899963378906,321.8699951171875,322.45001220703125,467000
2025-08-27,325.239990234375,327.5899963378906,324.0899963378906,324.7200012207031,221800
2025-08-28,325.1700134277344,327.19000244140625,324.2099914550781,326.8299865722656,211300
2025-08-29,325.6700134277344,327.42999267578125,324.04998779296875,325.55999755859375,220600
2025-09-02,317.7900085449219,322.95001220703125,315.79998779296875,321.1700134277344,288700
2025-09-03,319.3699951171875,319.4200134277344,314.010009765625,316.760009765625,419400
2025-09-04,319.94000244140625,320.4700012207031,313.3500061035156,320.4700012207031,265400
2025-09-05,316.6499938964844,327.1099853515625,314.8699951171875,322.0899963378906,259700
2025-09-08,311.5899963378906,316.1400146484375,309.07000732421875,316.1400146484375,668500
2025-09-09,313.1199951171875,315.2900085449219,310.3399963378906,310.489990234375,506200
2025-09-10,304.79998779296875,313.5799865722656,302.3900146484375,311.1600036621094,396300
2025-09-11,313.6000061035156,314.4200134277344,304.5400085449219,304.8299865722656,354100
2025-09-12,307.3599853515625,313.29998779296875,306.17999267578125,313.29998779296875,350300
2025-09-15,304.8599853515625,311.1700134277344,304.3999938964844,308.82000732421875,313800
2025-09-16,306.2900085449219,307.3599853515625,302.3900146484375,304.82000732421875,360900
2025-09-17,310.6300048828125,315.3800048828125,306.69000244140625,306.69000244140625,461500
2025-09-18,305.2699890136719,313.2099914550781,303.8500061035156,313.2099914550781,467200
2025-09-19,301.92999267578125,306.6000061035156,298.989990234375,305.8800048828125,998900
2025-09-22,299.9200134277344,302.0,297.57000732421875,299.54998779296875,579600
2025-09-23,298.0,305.2900085449219,297.1300048828125,300.0,420900
2025-09-24,296.2300109863281,300.1400146484375,294.3999938964844,298.260009765625,436600
2025-09-25,292.17999267578125,296.239990234375,289.0400085449219,294.3800048828125,357400
2025-09-26,296.70001220703125,298.5799865722656,292.5299987792969,292.5299987792969,437100
2025-09-29,295.8299865722656,299.7900085449219,292.8800048828125,299.7900085449219,537200
2025-09-30,288.05999755859375,294.9800109863281,286.7200012207031,294.8699951171875,630000
2025-10-01,286.4100036621094,290.3999938964844,284.25,286.6000061035156,616700
2025-10-02,286.9800109863281,292.2200012207031,285.7799987792969,285.94000244140625,368000
2025-10-03,288.3299865722656,292.3500061035156,287.0,287.0,234600
2025-10-06,288.70001220703125,291.0,286.45001220703125,289.1199951171875,351400
2025-10-07,289.0199890136719,292.5,288.3999938964844,289.6499938964844,299200
2025-10-08,292.2699890136719,294.6600036621094,287.239990234375,290.4800109863281,288300
