Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2025-08-14,233.19000244140625,233.97000122070312,230.86000061035156,231.64999389648438,5320800
2025-08-15,235.25999450683594,236.4499969482422,231.42999267578125,233.36000061035156,6291400
2025-08-18,232.41000366210938,235.16000366210938,229.11000061035156,234.47000122070312,8456000
2025-08-19,225.0,232.42999267578125,223.75,232.0,9061100
2025-08-20,225.6199951171875,226.3699951171875,223.60000610351562,224.49000549316406,5016000
2025-08-21,224.4600067138672,227.5800018310547,223.7100067138672,227.1300048828125,6101100
2025-08-22,230.1199951171875,233.6999969482422,225.24000549316406,225.41000366210938,8678400
2025-08-25,226.8699951171875,230.25,226.60000610351562,229.60000610351562,4757600
2025-08-26,234.8300018310547,234.8300018310547,227.97999572753906,228.0,7380200
2025-08-27,235.6199951171875,236.33999633789062,232.39999389648438,235.36000061035156,4757400
2025-08-28,236.16000366210938,237.35000610351562,234.5,235.85000610351562,4039600
2025-08-29,234.67999267578125,238.0500030517578,233.1699981689453,236.1300048828125,5008600
2025-09-02,237.3800048828125,238.3300018310547,230.8000030517578,231.27999877929688,6339100
2025-09-03,232.3800048828125,237.05999755859375,230.75999450683594,237.05999755859375,5999000
2025-09-04,230.75,233.10000610351562,229.2100067138672,233.00999450683594,4093200
2025-09-05,229.61000061035156,232.22999572753906,225.5,231.8000030517578,8203600
2025-09-08,230.9499969482422,232.1999969482422,228.08999633789062,231.6999969482422,5955000
2025-09-09,229.52000427246094,232.27999877929688,228.4499969482422,231.00999450683594,5510400
2025-09-10,227.52000427246094,230.10000610351562,226.58999633789062,229.60000610351562,4949500
2025-09-11,219.99000549316406,229.69000244140625,219.64999389648438,228.0,12010800
2025-09-12,215.94000244140625,220.0,215.6999969482422,219.88999938964844,11094900
